frame	x1	y1	x2	y2	confidence	cluster	new_cluster
315	-0.1586	-0.2826	0.244	0.4021	0.7314	-1	1
315	0.0403	-0.3396	0.2514	-0.1017	0.5546	-1	1
315	-0.2076	-0.1595	-0.103	0.171	0.3947	-1	1
316	-0.1585	-0.3085	0.2512	0.403	0.6714	-1	1
316	-0.2071	-0.1568	-0.1029	0.1731	0.423	-1	1
317	-0.1564	-0.2995	0.2583	0.4078	0.7344	-1	1
317	-0.207	-0.1554	-0.1036	0.1711	0.424	-1	1
318	-0.1576	-0.3019	0.2521	0.4139	0.6909	-1	1
318	0.0315	-0.0356	0.2446	0.4067	0.4976	-1	1
318	-0.2081	-0.1572	-0.1053	0.1748	0.3822	-1	1
319	0.1015	-0.2981	0.2597	-0.0632	0.5531	-1	1
319	-0.1601	-0.2937	0.2516	0.4061	0.5291	-1	1
319	0.0262	-0.0345	0.2428	0.4073	0.3659	-1	1
319	-0.2099	-0.1553	-0.1094	0.1713	0.2897	-1	1
319	-0.158	-0.2656	0.1175	0.2117	0.2839	-1	1
320	-0.1602	-0.3278	0.2536	0.4061	0.7843	-1	1
321	-0.1596	-0.3099	0.2489	0.4053	0.8657	-1	1
322	-0.16	-0.3187	0.2648	0.4115	0.6463	-1	1
322	-0.0054	-0.0535	0.2427	0.4085	0.605	-1	1
322	-0.2093	-0.1552	-0.1084	0.1747	0.4234	-1	1
322	0.0737	-0.2909	0.2515	-0.0848	0.3858	-1	1
322	-0.047	-0.4464	0.1267	-0.2197	0.3732	-1	1
322	-0.1579	-0.2605	0.1102	0.2175	0.329	-1	1
323	-0.1594	-0.3183	0.2596	0.4143	0.7427	-1	1
323	-0.004	-0.0499	0.2443	0.4111	0.6298	-1	1
323	-0.2079	-0.1523	-0.1041	0.1737	0.4197	-1	1
323	0.0832	-0.2987	0.2532	-0.0815	0.3274	-1	1
324	-0.1596	-0.3149	0.257	0.4055	0.8915	-1	1
324	-0.2072	-0.1521	-0.1042	0.1736	0.4123	-1	1
324	0.079	-0.2981	0.2535	-0.0984	0.2943	-1	1
325	-0.1607	-0.277	0.249	0.4048	0.727	-1	1
325	0.1027	-0.2975	0.257	-0.1054	0.7018	-1	1
325	-0.2071	-0.1496	-0.1029	0.1737	0.4239	-1	1
325	-0.046	-0.467	0.1482	-0.1813	0.3955	-1	1
325	-0.1563	-0.2476	0.0068	0.2146	0.3795	-1	1
326	0.1029	-0.2915	0.2624	-0.1198	0.6801	-1	1
326	-0.1575	-0.2419	0.0181	0.216	0.5651	-1	1
326	-0.1603	-0.2533	0.2468	0.4054	0.5146	-1	1
326	-0.2069	-0.1494	-0.1032	0.1724	0.3692	-1	1
327	-0.1589	-0.2538	0.2468	0.4059	0.7197	-1	1
327	0.1039	-0.292	0.2616	-0.1307	0.6078	-1	1
327	-0.1564	-0.2436	0.0285	0.2134	0.3654	-1	1
327	-0.2055	-0.1486	-0.1018	0.1697	0.2852	-1	1
328	-0.1562	-0.2558	0.2477	0.4063	0.7611	-1	1
328	0.0965	-0.2981	0.2654	-0.1401	0.5416	-1	1
329	-0.1575	-0.253	0.2466	0.4062	0.729	-1	1
329	0.0936	-0.2968	0.2664	-0.1518	0.5612	-1	1
330	-0.1591	-0.2509	0.2478	0.4055	0.6835	-1	1
330	-0.158	-0.2404	0.0321	0.2107	0.4576	-1	1
330	0.1058	-0.2969	0.262	-0.1587	0.4329	-1	1
331	-0.1666	-0.2533	0.25	0.4043	0.8779	-1	1
331	0.1053	-0.3063	0.262	-0.1672	0.4764	-1	1
332	-0.1661	-0.2408	0.2482	0.4021	0.8447	-1	1
333	-0.1665	-0.2331	0.2529	0.4018	0.7166	-1	1
333	-0.1688	-0.466	0.2684	0.4047	0.3084	-1	1
334	-0.1652	-0.2399	0.254	0.4029	0.7116	-1	1
335	-0.1731	-0.3847	0.2568	0.4013	0.6849	-1	1
336	-0.1742	-0.444	0.2583	0.4005	0.7093	-1	1
337	-0.1687	-0.3943	0.2627	0.4013	0.6266	-1	1
338	-0.1723	-0.4357	0.2666	0.3994	0.6495	-1	1
339	-0.1737	-0.2655	0.2625	0.4015	0.6579	-1	1
340	-0.1706	-0.4413	0.2751	0.4038	0.835	-1	1
341	-0.1682	-0.4755	0.279	0.4036	0.7652	-1	1
341	-0.1968	-0.0711	-0.0841	0.1893	0.2919	-1	1
342	-0.1384	-0.2907	0.2784	0.4062	0.6692	-1	1
343	-0.1428	-0.2685	0.2816	0.4122	0.6705	-1	1
344	-0.1729	-0.2964	0.2802	0.4109	0.6707	-1	1
345	-0.1863	-0.2217	0.2712	0.4091	0.6348	-1	1
346	-0.1829	-0.2134	0.2742	0.4147	0.6468	-1	1
347	-0.1836	-0.2101	0.2758	0.4134	0.6909	-1	1
347	-0.0371	-0.4096	0.1905	-0.1561	0.2831	-1	1
348	-0.1825	-0.208	0.2763	0.4147	0.6311	-1	1
349	-0.1911	-0.1922	0.2703	0.4144	0.8472	-1	1
349	-0.0285	-0.4223	0.1906	-0.1511	0.3727	-1	1
350	-0.1916	-0.1819	0.275	0.4186	0.6813	-1	1
351	-0.1839	-0.388	0.2868	0.4266	0.7068	-1	1
352	-0.1821	-0.2645	0.2837	0.4285	0.7157	-1	1
353	-0.1811	-0.1744	0.2818	0.4232	0.8486	-1	1
353	-0.0241	-0.4149	0.2068	-0.1449	0.6685	-1	1
354	-0.1798	-0.1663	0.2817	0.4293	0.889	-1	1
354	-0.0274	-0.4202	0.2142	-0.1339	0.7996	-1	1
354	0.1412	-0.2396	0.3259	-0.0774	0.2627	-1	1
355	-0.1786	-0.163	0.2855	0.4262	0.8668	-1	1
355	-0.0249	-0.441	0.2171	-0.135	0.5901	-1	1
355	0.1458	-0.2314	0.3307	-0.0783	0.3108	-1	1
356	-0.1748	-0.158	0.2915	0.43	0.8251	-1	1
356	-0.0235	-0.4062	0.2116	-0.1347	0.4757	-1	1
357	-0.1767	-0.1419	0.2909	0.4328	0.8033	-1	1
357	-0.0281	-0.3951	0.2172	-0.1224	0.5744	-1	1
357	0.164	-0.2202	0.2908	-0.0707	0.5385	-1	1
358	-0.1857	-0.1135	0.2863	0.4303	0.7211	-1	1
358	-0.0404	-0.4041	0.2085	-0.1101	0.4132	-1	1
358	0.1603	-0.2228	0.3165	-0.0715	0.2603	-1	1
359	-0.1811	-0.1291	0.2889	0.4337	0.525	-1	1
359	0.1603	-0.2133	0.2826	-0.0682	0.2972	-1	1
360	-0.1444	-0.1056	0.2883	0.4356	0.4675	-1	1
360	-0.0998	-0.1462	0.0146	-0.029	0.2621	-1	1
361	-0.1054	-0.1122	0.2877	0.4375	0.6598	-1	1
362	-0.0952	-0.0791	0.2868	0.4474	0.8128	-1	1
362	0.1551	-0.1861	0.2904	-0.0468	0.4291	-1	1
363	-0.1266	-0.0685	0.2854	0.4602	0.5774	-1	1
364	-0.1861	-0.0961	0.2932	0.4736	0.5148	-1	1
365	-0.1893	-0.4662	0.332	0.4889	0.3922	-1	1
365	-0.1883	-0.1007	0.2871	0.4869	0.3557	-1	1
366	-0.1985	-0.078	0.2819	0.4919	0.6117	-1	1
367	-0.2003	-0.0504	0.2781	0.4975	0.5267	-1	1
367	-0.2014	-0.4398	0.3049	0.5	0.3126	-1	1
368	-0.2	-0.4286	0.2971	0.5	0.5775	-1	1
368	-0.1987	-0.0582	0.2743	0.4961	0.2796	-1	1
369	-0.1966	-0.4286	0.3214	0.4986	0.7149	-1	1
370	-0.2017	-0.4549	0.3091	0.4992	0.7791	-1	1
370	-0.2019	0.0251	-0.0472	0.3063	0.2748	-1	1
371	-0.2103	-0.4708	0.3071	0.4985	0.7601	-1	1
371	-0.2089	0.047	-0.057	0.3125	0.4583	-1	1
372	-0.1881	-0.405	0.2747	0.4999	0.7835	-1	1
372	-0.2153	0.0815	-0.0687	0.3249	0.6562	-1	1
373	-0.2271	0.1045	-0.0787	0.3299	0.726	-1	1
373	-0.1947	-0.4993	0.3081	0.4985	0.6396	-1	1
374	-0.1634	-0.5	0.2762	0.4968	0.6133	-1	1
374	-0.2372	0.1262	-0.0906	0.3385	0.5365	-1	1
375	-0.1447	-0.0349	-0.0531	0.0906	0.6265	-1	1
375	-0.1574	-0.4839	0.2708	0.5	0.5226	-1	1
375	-0.238	0.1277	-0.0963	0.345	0.4508	-1	1
376	-0.1441	-0.0366	-0.053	0.0854	0.612	-1	1
376	-0.2431	0.1168	-0.0903	0.3463	0.5304	-1	1
376	-0.1734	-0.5	0.2702	0.5	0.2872	-1	1
377	-0.2466	0.0976	-0.1058	0.3537	0.6053	-1	1
377	-0.1686	-0.5	0.2561	0.5	0.4328	-1	1
378	-0.2518	0.0835	-0.1085	0.3519	0.6306	-1	1
378	-0.1869	-0.5	0.2573	0.5	0.3782	-1	1
379	-0.2377	-0.4665	0.2527	0.5	0.3808	-1	1
379	-0.2543	0.0812	-0.0973	0.3396	0.3724	-1	1
380	-0.2605	0.082	-0.1104	0.3406	0.7132	-1	1
380	-0.2145	-0.4589	0.2643	0.5	0.5367	-1	1
381	-0.2643	0.1173	-0.1209	0.3421	0.746	-1	1
381	-0.2628	-0.4485	0.2487	0.4966	0.4628	-1	1
382	-0.2728	0.1282	-0.128	0.3462	0.5406	-1	1
382	-0.2073	-0.4425	0.2433	0.4613	0.5014	-1	1
382	-0.1608	0.1957	-0.0035	0.3667	0.453	-1	1
383	-0.2714	0.1254	-0.1303	0.3377	0.6004	-1	1
383	-0.2572	-0.4765	0.25	0.4993	0.5728	-1	1
384	-0.1826	-0.4875	0.2506	0.4989	0.6104	-1	1
384	-0.2717	0.1157	-0.1221	0.3374	0.5699	-1	1
385	-0.2683	0.0916	-0.1225	0.3359	0.7786	-1	1
385	-0.184	-0.4988	0.2493	0.4968	0.3021	-1	1
386	-0.2801	-0.4786	0.2632	0.477	0.6764	-1	1
387	-0.2683	-0.4573	0.2295	0.3932	0.6716	-1	1
388	-0.2673	-0.4565	0.2461	0.4615	0.6525	-1	1
389	-0.2589	-0.4592	0.2861	0.4463	0.4181	-1	1
390	-0.2574	-0.0447	0.2105	0.4976	0.5741	-1	1
391	-0.2571	-0.4293	0.3555	0.4711	0.2612	-1	1
397	-0.254	-0.0234	0.1943	0.5	0.6984	-1	1
398	-0.2564	-0.0151	0.1923	0.4998	0.6207	-1	1
399	-0.2618	-0.0191	0.1905	0.4985	0.5498	-1	1
400	-0.2739	-0.4713	0.2621	0.4997	0.7125	-1	1
400	0.0525	-0.0743	0.2457	0.066	0.2503	-1	1
401	-0.2703	-0.4523	0.2294	0.4995	0.829	-1	1
401	0.0399	-0.0809	0.2203	0.0601	0.382	-1	1
402	-0.2717	-0.4229	0.2117	0.5	0.7505	-1	1
402	0.0445	-0.0878	0.2218	0.0598	0.5332	-1	1
403	-0.2766	-0.4228	0.208	0.5	0.8049	-1	1
403	0.0432	-0.0857	0.2209	0.0586	0.4849	-1	1
404	-0.2775	-0.4265	0.2221	0.4998	0.7514	-1	1
404	0.0442	-0.0881	0.2217	0.0557	0.329	-1	1
405	-0.2783	-0.4191	0.2232	0.4992	0.821	-1	1
405	0.044	-0.1005	0.2143	0.0537	0.4084	-1	1
406	-0.2395	-0.4104	0.2244	0.4981	0.7213	-1	1
406	0.0364	-0.1054	0.2077	0.0513	0.3687	-1	1
407	0.027	-0.1047	0.1993	0.0511	0.5752	-1	1
407	-0.2531	-0.0627	0.1892	0.499	0.5414	-1	1
407	-0.2603	-0.3951	0.2116	0.5	0.3529	-1	1
407	-0.1144	-0.4014	0.2015	-0.0286	0.2536	-1	1
408	-0.275	-0.4344	0.2309	0.4992	0.6833	-1	1
408	0.0322	-0.1016	0.2007	0.0506	0.3166	-1	1
409	-0.2768	-0.4552	0.2601	0.5	0.6684	-1	1
410	-0.2802	-0.4531	0.2376	0.4988	0.6882	-1	1
410	0.0487	-0.0939	0.2115	0.0611	0.3039	-1	1
411	-0.2639	-0.4587	0.2234	0.4969	0.7573	-1	1
411	0.0439	-0.0986	0.195	0.0532	0.6297	-1	1
411	0.0816	-0.0979	0.1871	0.0366	0.254	-1	1
412	-0.2663	-0.4895	0.2358	0.4964	0.7151	-1	1
412	-0.0412	0.0138	0.1854	0.4961	0.369	-1	1
412	0.0488	-0.1206	0.1919	0.0237	0.3249	-1	1
412	0.1034	-0.1155	0.1845	-0.0196	0.2834	-1	1
413	-0.249	-0.4477	0.1987	0.4961	0.7756	-1	1
413	0.0228	-0.1334	0.1974	0.0302	0.4459	-1	1
414	-0.2658	-0.4192	0.1994	0.499	0.837	-1	1
414	0.092	-0.1426	0.1835	-0.0332	0.3763	-1	1
414	0.0164	-0.1438	0.1942	0.0038	0.3057	-1	1
415	-0.2779	-0.4148	0.1835	0.4958	0.914	-1	1
415	0.0827	-0.1478	0.1776	-0.0489	0.5664	-1	1
416	-0.2871	-0.4262	0.1846	0.4947	0.9015	-1	1
416	0.0781	-0.1573	0.1743	-0.0544	0.2779	-1	1
417	-0.2776	-0.4091	0.1847	0.4952	0.9054	-1	1
417	0.0649	-0.1702	0.1808	-0.0545	0.4357	-1	1
