Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds)
1510,0.1559,0.192845977,0.2201,0.275002299,0.4538,-1,43,50.33333333
1510,-0.2737,-0.188582375,-0.2025,-0.101178544,0.2856,-1,43,50.33333333
1511,0.3122,0.106754023,0.3842,0.132581609,0.7726,-1,43,50.36666667
1511,0.1453,0.190468199,0.1963,0.273444444,0.5457,-1,43,50.36666667
1511,0.3108,0.106754023,0.4197,0.134221456,0.4243,-1,43,50.36666667
1512,0.2927,0.107327969,0.3637,0.131351724,0.671,-1,43,50.4
1512,0.1136,0.1926,0.1781,0.274592337,0.6056,-1,43,50.4
1513,0.2929,0.107327969,0.3637,0.131351724,0.6732,-1,43,50.43333333
1513,0.1155,0.191370115,0.1794,0.273116475,0.6397,-1,43,50.43333333
1514,-0.2718,-0.178825287,-0.2212,-0.093389272,0.8414,-1,43,50.46666667
1514,-0.1173,-0.24064751,-0.0694,-0.158081226,0.8327,-1,43,50.46666667
1514,-0.1689,-0.088141762,-0.047,0.114871264,0.6894,-1,43,50.46666667
1514,0.2707,0.105114176,0.343,0.130941762,0.5838,-1,43,50.46666667
1514,0.1014,0.192518008,0.1541,0.272624521,0.2807,-1,43,50.46666667
1515,0.2286,0.1059341,0.3003,0.130941762,0.5359,-1,43,50.5
1515,-0.1547,-0.218591571,-0.0795,0.007953257,0.2793,-1,43,50.5
1516,-0.298,0.060510345,-0.2525,0.248682759,0.8145,-1,43,50.53333333
1516,-0.2862,-0.15857318,-0.2415,-0.074531034,0.6569,-1,43,50.53333333
1516,0.205,0.105278161,0.2705,0.130367816,0.3621,-1,43,50.53333333
1519,0.1554,0.107081992,0.227,0.134385441,0.3499,-1,43,50.63333333
1520,0.1314,0.113149425,0.2165,0.136681226,0.5811,-1,43,50.66666667
1521,0.1318,0.11331341,0.2132,0.136599234,0.5766,-1,43,50.7
1522,0.1318,0.11331341,0.2123,0.136599234,0.5801,-1,43,50.73333333
1523,-0.062,0.202029119,-0.0125,0.283365517,0.4772,-1,43,50.76666667
1523,0.1069,0.111017625,0.209,0.139386973,0.4201,-1,43,50.76666667
1524,-0.0874,0.204734866,-0.0406,0.282217625,0.7266,-1,43,50.8
1528,0.439,0.219575479,0.494,0.314932567,0.2932,-1,43,50.93333333
1530,0.4395,0.222363218,0.4935,0.318130268,0.2746,-1,43,51
1532,0.4393,0.225396935,0.4947,0.321573946,0.386,-1,43,51.06666667
1533,0.4395,0.226134866,0.4949,0.321409962,0.3511,-1,43,51.1
1534,0.4398,0.227118774,0.4952,0.322721839,0.3191,-1,43,51.13333333
1536,0.4409,0.229742529,0.4944,0.324443678,0.2976,-1,43,51.2
1538,0.4422,0.234170115,0.4972,0.329609195,0.3829,-1,43,51.26666667
1539,0.4424,0.233268199,0.4973,0.329445211,0.3595,-1,43,51.3
1540,0.4432,0.237285824,0.4968,0.331495019,0.4216,-1,43,51.33333333
1541,0.4437,0.237941762,0.4974,0.333954789,0.5616,-1,43,51.36666667
1542,0.4436,0.237777778,0.4978,0.333954789,0.5676,-1,43,51.4
1543,0.4441,0.239827586,0.4983,0.336824521,0.6625,-1,43,51.43333333
1543,-0.441,0.028041379,-0.3601,0.068217625,0.2573,-1,43,51.43333333
1544,0.4443,0.240975479,0.4988,0.339448276,0.684,-1,43,51.46666667
1545,0.4441,0.243517241,0.4988,0.341826054,0.6213,-1,43,51.5
1545,-0.4408,0.032878927,-0.3555,0.07436705,0.3256,-1,43,51.5
1546,0.4441,0.244583142,0.4987,0.343629885,0.5845,-1,43,51.53333333
1547,0.4445,0.245649042,0.4991,0.343957854,0.5868,-1,43,51.56666667
1548,0.4447,0.24310728,0.4958,0.345843678,0.2788,-1,43,51.6
1549,0.4446,0.242943295,0.4958,0.346007663,0.3395,-1,43,51.63333333
1551,0.4477,0.248190805,0.4984,0.348221456,0.2922,-1,43,51.7
1554,0.4491,0.256390038,0.4987,0.35256705,0.2734,-1,43,51.8
1556,0.4506,0.261555556,0.499,0.357240613,0.3135,-1,43,51.86666667
1562,-0.4998,0.302305747,-0.4041,0.409961686,0.3254,-1,43,52.06666667
1563,-0.4998,0.303535632,-0.4052,0.407583908,0.3437,-1,43,52.1
1564,0.4509,0.256144061,0.4993,0.350763218,0.3236,-1,43,52.13333333
1565,0.4505,0.251142529,0.4991,0.347155556,0.3273,-1,43,52.16666667
