frame	x1	y1	x2	y2	confidence	cluster
614	0.1118	-0.0029	0.4301	0.3146	0.7076	-1
615	0.121	-0.0057	0.4195	0.3316	0.8206	-1
615	-0.3483	0.0111	0.057	0.4983	0.7505	-1
615	-0.2667	0.2661	-0.1118	0.4931	0.3993	-1
616	0.1056	-0.0024	0.4258	0.3238	0.865	-1
616	-0.3507	0.0111	0.0551	0.5	0.6056	-1
616	-0.2671	0.2688	-0.108	0.4993	0.5495	-1
617	0.104	-0.0019	0.429	0.3303	0.8693	-1
617	-0.3505	0.0096	0.0544	0.5	0.8139	-1
617	-0.2651	0.2692	-0.1104	0.496	0.3179	-1
618	0.1026	-0.0015	0.4292	0.3223	0.8426	-1
618	-0.3515	0.0096	0.0572	0.5	0.7789	-1
618	-0.2651	0.2674	-0.1113	0.4951	0.3899	-1
619	-0.3473	0.1136	-0.2224	0.2991	0.8544	-1
619	0.1099	-0.008	0.4284	0.331	0.8124	-1
619	-0.268	0.2705	-0.0997	0.5	0.7968	-1
619	-0.1628	0.0043	0.0558	0.2481	0.6723	-1
619	-0.169	0.0018	0.0594	0.3609	0.3257	-1
620	-0.3448	0.1068	-0.2084	0.2991	0.882	-1
620	0.1128	-0.0047	0.4295	0.346	0.8291	-1
620	-0.2676	0.2727	-0.1013	0.5	0.7813	-1
620	-0.1382	0.0067	0.0554	0.2331	0.6001	-1
621	0.1096	-0.0053	0.4426	0.3437	0.829	-1
621	-0.2705	0.2661	-0.1003	0.5	0.635	-1
621	-0.3501	0.0116	0.05	0.3094	0.5664	-1
622	0.1156	-0.0046	0.4474	0.3632	0.7768	-1
622	-0.3509	0.0025	0.0503	0.3219	0.6319	-1
622	-0.2678	0.2693	-0.0947	0.5	0.6167	-1
622	-0.3504	0.0026	0.0505	0.4678	0.5511	-1
623	0.1148	-0.0058	0.4467	0.3593	0.7748	-1
623	-0.3509	0.0022	0.0508	0.3139	0.6441	-1
623	-0.2669	0.2695	-0.0944	0.5	0.6392	-1
623	-0.3505	0.0022	0.0513	0.451	0.5528	-1
624	0.1283	-0.0038	0.4479	0.3647	0.7458	-1
624	-0.2684	0.2695	-0.0967	0.5	0.6366	-1
624	-0.3507	0.0009	0.0523	0.3	0.5716	-1
625	-0.2668	0.2738	-0.0971	0.5	0.612	-1
625	-0.3493	0.0022	0.0511	0.3065	0.6103	-1
625	-0.3493	-0.0005	0.051	0.455	0.4067	-1
625	0.1149	0.0023	0.4463	0.3333	0.3399	-1
625	0.121	0.0015	0.3141	0.2929	0.335	-1
626	0.1052	0.0051	0.4466	0.3209	0.485	-1
626	-0.2455	0.2717	-0.0966	0.5	0.4726	-1
626	0.1091	0.0043	0.319	0.3011	0.3443	-1
626	-0.3464	0.065	-0.1338	0.2997	0.3397	-1
626	-0.3481	0.022	0.0601	0.4642	0.3246	-1
627	-0.2372	0.2689	-0.0917	0.5	0.4134	-1
627	-0.3424	0.0615	-0.1004	0.2989	0.339	-1
627	-0.365	0.0003	0.4433	0.4477	0.3331	-1
628	-0.2379	0.2687	-0.0917	0.5	0.416	-1
628	-0.3633	0.0001	0.4434	0.4497	0.3552	-1
628	-0.3423	0.0613	-0.1013	0.2987	0.3139	-1
629	-0.3483	0.0442	-0.1061	0.3024	0.765	-1
629	0.1045	0.0052	0.4431	0.3284	0.6735	-1
629	-0.2514	0.2679	-0.0913	0.5	0.345	-1
629	-0.3462	0.0008	0.074	0.5	0.2624	-1
630	-0.3507	0.0404	-0.0597	0.3035	0.8521	-1
630	0.1105	0.007	0.3154	0.3068	0.3858	-1
630	0.1057	0.0067	0.4446	0.3788	0.3823	-1
631	-0.3528	0.0387	-0.0444	0.305	0.8813	-1
631	0.1151	0.0089	0.3257	0.3112	0.5041	-1
632	-0.3548	0.0395	-0.045	0.3061	0.835	-1
632	-0.3539	0.0438	-0.0467	0.5	0.6584	-1
632	0.1217	0.0092	0.3222	0.3095	0.3955	-1
633	-0.3546	0.0395	-0.045	0.306	0.8378	-1
633	-0.3537	0.0438	-0.047	0.5	0.6527	-1
633	0.1209	0.0095	0.3221	0.3089	0.4235	-1
634	-0.3594	0.0415	-0.0532	0.3107	0.8608	-1
634	0.1116	0.0087	0.4514	0.4058	0.582	-1
635	-0.3596	0.0414	-0.0533	0.3106	0.8608	-1
635	0.1119	0.0086	0.4516	0.4061	0.5433	-1
636	-0.3569	0.0536	-0.0498	0.3089	0.894	-1
636	0.1131	0.0045	0.4486	0.3782	0.5102	-1
636	-0.2541	0.2881	-0.0816	0.5	0.2984	-1
637	-0.3531	0.0584	-0.0381	0.3117	0.8513	-1
637	0.1077	0.0072	0.4455	0.3401	0.6276	-1
637	-0.3527	0.0522	-0.0377	0.5	0.3507	-1
638	-0.3534	0.0582	-0.0376	0.3117	0.8548	-1
638	0.1086	0.0067	0.4458	0.3428	0.6693	-1
638	-0.353	0.0517	-0.0367	0.5	0.3344	-1
639	-0.3569	0.064	-0.0389	0.316	0.8323	-1
639	0.1032	-0.0009	0.4456	0.3405	0.7872	-1
639	-0.3566	0.0533	-0.0373	0.5	0.516	-1
639	-0.2668	0.2906	-0.063	0.5	0.2749	-1
640	-0.3625	0.0638	-0.0493	0.3179	0.8667	-1
640	0.1128	-0.0022	0.4495	0.3366	0.7669	-1
640	-0.2672	0.2852	-0.0797	0.5	0.4563	-1
641	-0.3621	0.0619	-0.0497	0.3206	0.878	-1
641	0.1095	-0.0006	0.4499	0.3249	0.5283	-1
641	-0.2655	0.2856	-0.0855	0.5	0.4796	-1
641	0.3772	0.2267	0.4195	0.3095	0.4416	-1
641	0.1109	0.0037	0.3046	0.3185	0.2752	-1
642	-0.3617	0.0688	-0.0518	0.3188	0.863	-1
642	0.0952	-0.0049	0.4469	0.325	0.7123	-1
642	-0.3623	0.0677	-0.053	0.4738	0.5447	-1
642	-0.2665	0.2905	-0.0693	0.5	0.3373	-1
643	-0.3614	0.0673	-0.0519	0.3196	0.8554	-1
643	0.0948	-0.0026	0.4465	0.3228	0.5506	-1
643	-0.3618	0.0663	-0.0531	0.4738	0.548	-1
643	-0.2657	0.2922	-0.0673	0.5	0.2897	-1
644	-0.3614	0.0674	-0.0519	0.3198	0.857	-1
644	-0.3618	0.0665	-0.0532	0.4732	0.5485	-1
644	0.0948	-0.0023	0.4466	0.3227	0.5379	-1
644	-0.2659	0.292	-0.0674	0.5	0.2929	-1
644	0.0992	-0.0046	0.2974	0.3186	0.2519	-1
645	-0.3632	0.0617	-0.0486	0.3205	0.8342	-1
645	0.0871	-0.0095	0.291	0.3205	0.725	-1
645	-0.2688	0.29	-0.0783	0.5	0.3688	-1
645	-0.3643	0.06	-0.0517	0.4748	0.3614	-1
645	0.3653	0.2309	0.412	0.3148	0.3347	-1
646	-0.3624	0.0567	-0.0527	0.3195	0.8154	-1
646	0.0936	-0.0107	0.2875	0.3195	0.7903	-1
